vote_trump,census_region,state,age,weight_2020,hispan,sex,race,income,education_category,stateicp
1,3,GA,46,0.9244926195478331,0,1,1,3,3,Georgia
0,3,FL,62,0.8369043443684966,0,1,1,3,3,Florida
0,4,CA,30,0.631192555259161,0,0,1,2,3,California
1,3,MD,53,2.5773886448133534,1,1,1,2,3,Maryland
0,4,CO,35,0.10562720465818357,1,0,1,4,3,Colorado
0,4,ID,58,1.4657768038427934,0,1,1,3,3,Idaho
0,4,CA,37,0.6897671556738759,0,1,1,2,3,California
0,1,NY,33,0.884076528657599,0,1,1,3,3,New York
1,4,WA,47,0.12230917863566641,1,0,1,4,3,Washington
0,2,MI,42,0.6057900206976017,1,0,1,2,3,Michigan
1,2,OH,40,1.7543936958378008,0,0,1,3,2,Ohio
1,1,PA,36,0.7661052826240761,0,0,1,2,3,Pennsylvania
0,3,OK,22,2.1875268325143296,0,0,1,2,2,Oklahoma
1,1,NY,60,0.8935449741335678,0,0,1,2,3,New York
1,4,CA,31,1.1443997145329676,0,1,1,3,3,California
1,1,PA,66,1.4195591726373686,0,0,1,3,3,Pennsylvania
1,2,MO,66,0.7951212363827147,0,1,1,3,3,Missouri
0,1,NY,34,0.884076528657599,0,1,1,3,3,New York
0,1,NY,40,0.24591701004357824,0,1,1,4,3,New York
0,1,NY,71,1.4266400265818828,0,1,1,2,3,New York
1,1,PA,37,1.1776250655885263,0,0,1,2,3,Pennsylvania
